name,seed,use_cross,cover,joint_viol,MAE1,MAE2,RMSE1,RMSE2,qp_success,qp_fail,uncert_rate,active_rate,Sigma_zo_fro,drop_cross_rel_err,full_recon_rel_err,var_full1,var_full2,var_drop1,var_drop2,var_ratio1,var_ratio2,cross_block_fro,left_err,dual_err,cross_flag_rate
AI_cross_OFF_s94001,94001,0,0.994000,0.006000,0.586176,0.446971,0.734044,0.559489,0.494000,253,0.506000,0.391521,4.035821e-01,3.004200e-02,4.230388e-16,2.630001e+00,6.567957e-01,2.630001e+00,6.567957e-01,1.000000,1.000000,5.749928e-01,0.000000e+00,5.744790e-17,0.000000
AI_cross_OFF_s94002,94002,0,0.986000,0.014000,0.660033,0.453214,0.795083,0.555626,0.452000,274,0.548000,0.376559,4.035821e-01,3.004200e-02,4.230388e-16,2.630001e+00,6.567957e-01,2.630001e+00,6.567957e-01,1.000000,1.000000,5.749928e-01,0.000000e+00,5.744790e-17,0.000000
AI_cross_OFF_s94003,94003,0,0.976000,0.024000,0.589362,0.434655,0.700104,0.562379,0.484000,258,0.516000,0.389027,4.035821e-01,3.004200e-02,4.230388e-16,2.630001e+00,6.567957e-01,2.630001e+00,6.567957e-01,1.000000,1.000000,5.749928e-01,0.000000e+00,5.744790e-17,0.000000
AI_cross_ON_s94001,94001,1,0.996000,0.004000,0.638328,0.557778,0.766499,0.647574,0.008000,496,0.992000,0.009975,4.035821e-01,3.004200e-02,4.230388e-16,2.630001e+00,6.567957e-01,2.630001e+00,6.567957e-01,1.000000,1.000000,5.749928e-01,0.000000e+00,5.744790e-17,1.000000
AI_cross_ON_s94002,94002,1,0.986000,0.014000,0.732824,0.609445,0.844510,0.692689,0.000000,500,1.000000,0.000000,4.035821e-01,3.004200e-02,4.230388e-16,2.630001e+00,6.567957e-01,2.630001e+00,6.567957e-01,1.000000,1.000000,5.749928e-01,0.000000e+00,5.744790e-17,1.000000
AI_cross_ON_s94003,94003,1,0.976000,0.024000,0.684397,0.576836,0.765118,0.684144,0.044000,478,0.956000,0.054863,4.035821e-01,3.004200e-02,4.230388e-16,2.630001e+00,6.567957e-01,2.630001e+00,6.567957e-01,1.000000,1.000000,5.749928e-01,0.000000e+00,5.744790e-17,1.000000
